,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
85,allowed,0.0,0.007676088074605134,2,3,0.2,0.011074254198659483
86,allowing,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
87,almost,0.0,0.028215816373409988,15,4,0.5789473684210527,0.040706818356551544
88,alone,0.0,0.016080335720380257,11,0,1.0,0.02319902059962109
89,along,0.0,0.006247034688436352,1,3,0.5,0.009012565965267672
90,alongside,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
91,alot,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
92,already,0.0,0.014888995558983466,7,3,0.4,0.021480280056762724
93,alright,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
94,als,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
95,also,0.0,0.05847102675120449,29,10,0.48717948717948717,0.08435586032964826
96,alt,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
97,altered,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
98,although,0.0,0.01027523787415664,6,1,0.7142857142857143,0.014824034724999713
99,altogeth,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
100,altogether,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
101,always,0.0,0.044935513156305146,20,10,0.3333333333333333,0.06482824199040194
102,amazing,0.2585105253273459,0.018396590702014833,5,7,0.16666666666666666,0.02654067017505979
103,amazingly,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
104,ambien,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
105,america,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
106,american,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
107,americans,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
108,amid,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
109,among,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
110,amongst,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
111,amount,0.0,0.010401701669030471,5,2,0.42857142857142855,0.01500648341471611
112,amounts,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
113,anger,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
114,angry,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
115,angus,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
116,anhedonia,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
117,anhedonic,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
118,animal,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
119,ankle,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
120,ankles,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
121,anniversary,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
122,announced,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
123,announcing,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
124,annoying,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
125,annual,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
126,anorexia,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
127,anorexic,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
128,another,0.0,0.010713043329591993,3,4,0.14285714285714285,0.015455654484429981
129,antidepressants,0.0,0.008954287188681836,4,2,0.3333333333333333,0.012918305721806855
130,antidepressent,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
131,anxieties,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
132,anxiety,0.0,0.07188660707625039,43,4,0.8297872340425532,0.10371045153523939
133,anxietydepression,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
134,anxious,0.0,0.007511412231205749,3,2,0.2,0.010836677176032872
135,anybody,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
136,anymore,0.0,0.037266811320235946,23,2,0.84,0.05376464388144908
137,anyone,0.0,0.054661612071511614,35,1,0.9444444444444444,0.07886003666256469
138,anything,0.0,0.060735756082916634,37,3,0.85,0.08762317410546494
139,anyway,0.0,0.010401701669030471,5,2,0.42857142857142855,0.01500648341471611
140,anyways,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
141,anywhere,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
142,aok,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
143,apart,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
144,apartment,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
145,apologize,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
146,apologized,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
147,app,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
148,apparently,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
149,appear,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
150,appearance,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
151,appeared,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
152,appease,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
153,appetite,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
154,apple,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
155,apply,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
156,appointment,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
157,appointments,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
158,appreciate,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
159,appreciated,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
160,appreciates,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
161,appreciative,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
162,approach,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
163,approaches,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
164,approve,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
165,april,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
166,areas,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
167,arent,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
168,arm,0.0,0.011639208768652973,8,0,1.0,0.01679182877040608
169,arms,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
170,around,0.2313345350376785,0.029705214071195495,16,4,0.6,0.04285556502905774
171,arrangement,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
172,arrows,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
173,art,0.0,0.004639163578554617,1,2,0.3333333333333333,0.0066928982886529376
174,articles,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
175,artificial,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
176,artist,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
177,ashamed,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
178,ask,0.0,0.010401701669030471,5,2,0.42857142857142855,0.01500648341471611
179,asked,0.0,0.012146203799609845,4,4,0.0,0.017523267987323288
180,asking,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
