,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
1825,loving,0.0,0.004475213862199281,2,1,0.3333333333333333
1828,lowest,0.0,0.004639163578554617,1,2,0.3333333333333333
1838,made,0.0,0.05609412651784922,19,18,0.02702702702702703
1847,make,0.0,0.049453054008422224,22,11,0.3333333333333333
1849,makes,0.0,0.04394778518467606,15,14,0.034482758620689655
1850,making,0.0,0.02084108947520611,10,4,0.42857142857142855
1856,man,0.0,0.01577065701134497,2,8,0.6
1858,managed,0.0,0.007511412231205749,3,2,0.2
1864,many,0.0,0.0298454310407352,14,6,0.4
1865,march,0.0,0.004475213862199281,2,1,0.3333333333333333
1872,married,0.0,0.007860159198602208,1,4,0.6
1886,matter,0.0,0.016472911385715897,7,4,0.2727272727272727
1891,me,0.0,0.30785561635808933,131,66,0.3299492385786802
1893,mean,0.0,0.007366125204724907,4,1,0.6
1896,means,0.0,0.007676088074605134,2,3,0.2
1903,media,0.0,0.004475213862199281,2,1,0.3333333333333333
1917,memories,0.0,0.004475213862199281,2,1,0.3333333333333333
1920,mental,0.0,0.02976530537948962,15,5,0.5
1921,mentally,0.0,0.005918409128681631,3,1,0.5
1932,met,0.0,0.007676088074605134,2,3,0.2
1937,middle,0.0,0.005918409128681631,3,1,0.5
1938,might,0.0,0.01358388218064877,5,4,0.1111111111111111
1946,military,0.0,0.006247034688436352,1,3,0.5
1952,mine,0.0,0.005918409128681631,3,1,0.5
1959,minutes,0.0,0.005918409128681631,3,1,0.5
1966,mistakes,0.0,0.004475213862199281,2,1,0.3333333333333333
1974,mom,0.0,0.021098017266319696,8,6,0.14285714285714285
1975,moment,0.0,0.015026108074736599,6,4,0.2
1976,moments,0.0,0.005918409128681631,3,1,0.5
1980,money,0.0,0.007860159198602208,1,4,0.6
1981,month,0.0,0.016472911385715897,7,4,0.2727272727272727
1982,months,0.16827058882559556,0.054120874901367216,22,14,0.2222222222222222
1985,more,0.0,0.07232785369989667,37,11,0.5416666666666666
1986,morning,0.0,0.013310268294418502,7,2,0.5555555555555556
1987,mornings,0.0,0.004639163578554617,1,2,0.3333333333333333
1990,most,0.0,0.040269933327988235,21,6,0.5555555555555556
1997,move,0.0,0.01199018674113236,5,3,0.25
1998,moved,0.0,0.006247034688436352,1,3,0.5
2004,much,0.0,0.08431323734173421,39,17,0.39285714285714285
2010,music,0.0,0.010547634895469468,4,3,0.14285714285714285
2014,my,0.0,0.47726834546198166,177,135,0.1346153846153846
2015,myself,0.0,0.12192711684107457,59,21,0.475
2017,name,0.0,0.004639163578554617,1,2,0.3333333333333333
2028,nearly,0.0,0.004475213862199281,2,1,0.3333333333333333
2035,neglect,0.0,0.004475213862199281,2,1,0.3333333333333333
2036,neighbor,0.0,0.004475213862199281,2,1,0.3333333333333333
2040,nervous,0.0,0.004475213862199281,2,1,0.3333333333333333
2042,never,0.0,0.061588708118696676,26,15,0.2682926829268293
2043,new,0.0,0.03783616142802134,6,18,0.5
2045,next,0.0,0.027170017179104847,10,8,0.1111111111111111
2046,nice,0.0,0.014141039365815887,2,7,0.5555555555555556
2050,night,0.0,0.02545053216828036,11,6,0.29411764705882354
2055,no,0.0,0.08593682516917894,41,16,0.43859649122807015
2060,none,0.0,0.007366125204724907,4,1,0.6
2068,not,0.0,0.2931294504677534,137,40,0.5480225988700564
2077,now,0.0,0.0955732369767316,48,15,0.5238095238095238
2080,numb,0.0,0.005918409128681631,3,1,0.5
2095,of,0.0,0.3881764643888033,158,89,0.2793522267206478
2096,off,0.0,0.04035135705672372,19,8,0.4074074074074074
2110,old,0.0,0.0298454310407352,14,6,0.4
