,feature,tfidf,mi_value,df_dep,df_nonDep,cpd,ig_value
145,anybody,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
146,anymore,0.0,0.037266811320235946,23,2,0.84,0.05376464388144908
147,anyone,0.0,0.054661612071511614,35,1,0.9444444444444444,0.07886003666256469
148,anything,0.0,0.060735756082916634,37,3,0.85,0.08762317410546494
149,anyway,0.0,0.010401701669030471,5,2,0.42857142857142855,0.01500648341471611
150,anyways,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
151,anywhere,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
152,aok,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
153,apart,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
154,apartment,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
155,apologize,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
156,apologized,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
157,app,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
158,apparently,0.0,0.005783113843806052,4,0,1.0,0.008343269663354747
159,appear,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
160,appearance,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
161,appeared,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
162,appease,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
163,appetite,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
164,apple,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
165,apply,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
166,appointment,0.0,0.007240221295494479,5,0,1.0,0.010445431357948065
167,appointments,0.0,0.004330567336008411,3,0,1.0,0.006247688019894171
168,appreciate,0.0,0.004475213862199281,2,1,0.3333333333333333,0.006456368845912053
169,appreciated,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
170,appreciates,0.0,0.003036510252257249,1,1,0.0,0.004380758282538699
171,appreciative,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
172,approach,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
173,approaches,0.0,0.0016022694362928056,0,1,1.0,0.0023115861699068985
174,approve,0.0,0.0014390394685112103,1,0,1.0,0.002076095104863729
175,april,0.0,0.0032097319616439975,0,2,1.0,0.004630664383645566
176,are,0.0,0.11796251112877579,53,25,0.358974358974359,0.17018392981629316
177,areas,0.0,0.0028825522775071215,2,0,1.0,0.004158643875861512
178,arent,0.0,0.005918409128681631,3,1,0.5,0.008538459499900175
179,arm,0.0,0.011639208768652973,8,0,1.0,0.01679182877040608
